Day Index,Symbol,Cap Type,Sector
30,ADANIENT,Largecap,Services
30,POWERGRID,Largecap,Power & Utilities
30,BAJAJ-AUTO,Largecap,Auto
30,COALINDIA,Largecap,Metals & Mining
30,BDL,Largecap,Aerospace & Defence
30,360ONE,Largecap,Financials
30,KFINTECH,Midcap,Financials
31,KOTAKBANK,Largecap,Bank
31,GRASIM,Largecap,Textiles
31,TATAPOWER,Largecap,Power & Utilities
31,HINDALCO,Largecap,Metals & Mining
31,ITC,Largecap,FMCG
31,ADANIENT,Largecap,Services
31,CONCOR,Largecap,Transportation
31,TVSMOTOR,Largecap,Auto
31,PETRONET,Largecap,Energy
31,PFC,Largecap,Financials
31,FORTIS,Largecap,Healthcare
31,CDSL,Largecap,Financials
31,COCHINSHIP,Largecap,Aerospace & Defence
31,AMBER,Largecap,Consumer Discretionary
31,MAXHEALTH,Largecap,Healthcare
31,DELHIVERY,Largecap,Transportation
31,PREMIERENE,Largecap,Services
31,WAAREEENER,Largecap,Industrials
32,APOLLOHOSP,Largecap,Healthcare
32,NMDC,Largecap,Metals & Mining
32,MARICO,Largecap,FMCG
32,JINDALSTEL,Largecap,Metals & Mining
32,BAJAJFINSV,Largecap,Financials
32,NHPC,Largecap,Power & Utilities
32,JSWENERGY,Largecap,Power & Utilities
32,PGEL,Midcap,Consumer Discretionary
32,INDIGO,Largecap,Transportation
32,CDSL,Largecap,Financials
32,AMBER,Largecap,Consumer Discretionary
32,HAL,Largecap,Aerospace & Defence
32,POLYCAB,Largecap,Industrials
32,NYKAA,Largecap,I.T
32,KAYNES,Largecap,Consumer Discretionary
33,FORTIS,Largecap,Healthcare
34,BAJFINANCE,Largecap,Financials
34,BRITANNIA,Largecap,FMCG
34,PETRONET,Largecap,Energy
34,FORTIS,Largecap,Healthcare
34,BAJAJFINSV,Largecap,Financials
36,TATAPOWER,Largecap,Power & Utilities
36,APOLLOHOSP,Largecap,Healthcare
36,NBCC,Largecap,Miscellaneous
36,VBL,Largecap,FMCG
36,COCHINSHIP,Largecap,Aerospace & Defence
36,LICI,Largecap,Financials
37,ONGC,Largecap,Energy
37,TATASTEEL,Largecap,Metals & Mining
37,PETRONET,Largecap,Energy
37,FORTIS,Largecap,Healthcare
37,APLAPOLLO,Largecap,Industrials
37,POLICYBZR,Largecap,I.T
38,INOXWIND,Midcap,Industrials
39,ASTRAL,Largecap,Plastic products
39,KALYANKJIL,Largecap,Consumer Discretionary
40,DLF,Largecap,Realty
40,GODREJPROP,Largecap,Realty
40,APLAPOLLO,Largecap,Industrials
40,SAMMAANCAP,Midcap,Financials
40,SBICARD,Largecap,Financials
41,SAMMAANCAP,Midcap,Financials
42,SAIL,Largecap,Metals & Mining
42,HINDZINC,Largecap,Metals & Mining
42,JSWSTEEL,Largecap,Metals & Mining
42,DIVISLAB,Largecap,Healthcare
42,SUZLON,Largecap,Industrials
42,GODREJPROP,Largecap,Realty
42,OBEROIRLTY,Largecap,Realty
42,LODHA,Largecap,Realty
42,PAYTM,Largecap,I.T
43,BEL,Largecap,Aerospace & Defence
43,TATAPOWER,Largecap,Power & Utilities
43,TATASTEEL,Largecap,Metals & Mining
43,NMDC,Largecap,Metals & Mining
43,JINDALSTEL,Largecap,Metals & Mining
43,OIL,Largecap,Energy
43,PRESTIGE,Largecap,Realty
43,SAMMAANCAP,Midcap,Financials
43,PNBHOUSING,Largecap,Financials
43,HAL,Largecap,Aerospace & Defence
43,POLYCAB,Largecap,Industrials
43,KALYANKJIL,Largecap,Consumer Discretionary
43,NUVAMA,Largecap,Financials
44,FORCEMOT,Largecap,Auto
44,HINDPETRO,Largecap,Energy
44,OIL,Largecap,Energy
44,CDSL,Largecap,Financials
46,MOTILALOFS,Largecap,Financials
46,OIL,Largecap,Energy
46,LODHA,Largecap,Realty
47,ONGC,Largecap,Energy
47,GAIL,Largecap,Energy
47,ICICIGI,Largecap,Financials
48,ASTRAL,Largecap,Plastic products
48,RBLBANK,Largecap,Bank
48,LICI,Largecap,Financials
49,POLYCAB,Largecap,Industrials
50,DABUR,Largecap,FMCG
50,ONGC,Largecap,Energy
50,TATASTEEL,Largecap,Metals & Mining
50,TATACONSUM,Largecap,FMCG
50,MANAPPURAM,Largecap,Financials
50,PNB,Largecap,Bank
50,INDIANB,Largecap,Bank
50,OIL,Largecap,Energy
50,ADANIENSOL,Largecap,Power & Utilities
50,CDSL,Largecap,Financials
50,HDFCLIFE,Largecap,Financials
50,CAMS,Midcap,Financials
50,JIOFIN,Largecap,Financials
51,CDSL,Largecap,Financials
52,TITAN,Largecap,Consumer Discretionary
52,JINDALSTEL,Largecap,Metals & Mining
52,PGEL,Midcap,Consumer Discretionary
52,CAMS,Midcap,Financials
52,SONACOMS,Largecap,Auto
52,NYKAA,Largecap,I.T
53,BEL,Largecap,Aerospace & Defence
53,SAIL,Largecap,Metals & Mining
53,BANKINDIA,Largecap,Bank
53,UNIONBANK,Largecap,Bank
53,BIOCON,Largecap,Healthcare
53,GMRAIRPORT,Largecap,Miscellaneous
53,INDIANB,Largecap,Bank
53,PRESTIGE,Largecap,Realty
