Date,Total Signals,chemicals,realty,healthcare,indices,fmcg,services,metals & mining,textiles,financials,i.t,power & utilities,consumer discretionary,miscellaneous,building materials,bank,plastic products,n/a,industrials,media,transportation,auto,aerospace & defence,energy,telecom,telecom-service,co-working
2026-03-01,67,3,4,1,18,7,3,2,2,7,2,0,3,4,0,0,1,1,5,1,2,1,0,0,0,0,0
2026-03-03,79,3,0,2,41,5,0,3,3,3,1,0,3,2,0,1,0,0,6,3,1,1,1,0,0,0,0
2026-03-04,25,2,1,1,3,4,0,2,3,0,3,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0
2026-03-05,44,1,4,2,3,4,1,1,6,7,3,0,2,2,3,0,0,0,2,0,1,0,0,1,0,0,1
2026-03-08,145,7,12,11,18,10,5,2,7,12,7,1,7,6,3,0,3,3,17,4,4,0,5,0,0,0,1
2026-03-09,44,0,3,3,15,2,4,0,1,4,1,0,2,2,0,0,0,2,0,0,0,1,0,3,1,0,0
2026-03-10,45,3,5,0,5,3,4,1,3,3,5,0,0,1,1,0,1,1,4,0,1,4,0,0,0,0,0
2026-03-11,130,8,12,6,22,6,5,4,9,6,6,1,5,4,4,1,4,1,11,0,2,11,1,1,0,0,0
2026-03-12,84,3,6,2,11,8,2,3,8,4,4,0,7,4,2,0,0,3,10,1,1,4,0,1,0,0,0
2026-03-15,56,4,2,8,15,2,2,2,3,2,4,1,1,1,0,0,0,1,1,2,1,0,0,2,1,0,1
2026-03-16,39,5,2,2,5,1,1,1,3,3,4,0,3,2,0,0,1,0,4,1,0,0,0,0,0,1,0
2026-03-17,15,0,1,0,1,1,0,1,2,1,2,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0
2026-03-18,221,8,11,13,38,5,9,5,14,24,18,2,20,7,8,1,4,3,10,2,4,9,1,1,1,1,2
2026-03-19,35,0,1,0,14,2,0,2,2,2,0,1,2,0,1,0,2,1,3,2,0,0,0,0,0,0,0
2026-03-22,237,8,16,15,10,21,5,13,8,12,20,4,15,4,10,11,4,3,28,7,6,11,1,2,3,0,0
2026-03-23,26,2,1,0,9,2,0,1,0,2,3,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0
2026-03-24,22,2,3,1,3,2,1,0,1,4,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
2026-03-26,255,7,12,15,39,12,10,12,14,25,18,2,11,7,11,4,4,2,23,5,7,10,4,0,0,1,0
2026-03-29,64,3,3,5,17,1,2,3,4,3,3,0,6,2,1,1,0,0,4,3,0,2,0,1,0,0,0
2026-03-31,9,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-01,37,1,4,2,7,4,0,0,0,1,0,2,1,0,3,0,0,1,3,2,2,1,1,2,0,0,0
2026-04-05,34,3,1,2,9,4,0,0,2,1,2,0,3,0,1,0,1,2,1,0,0,0,1,1,0,0,0
2026-04-06,53,1,1,1,7,5,5,1,6,3,4,0,1,2,1,2,1,0,4,1,4,3,0,0,0,0,0
2026-04-07,23,1,0,4,0,3,2,3,3,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0
2026-04-08,151,2,9,7,36,8,8,2,6,11,16,0,6,6,6,3,2,1,10,5,1,2,0,2,1,1,0
2026-04-09,18,1,1,0,4,0,1,2,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-04-12,95,2,4,1,35,2,4,6,8,6,5,1,4,4,3,0,0,2,4,0,1,1,0,2,0,0,0
2026-04-14,20,3,2,2,2,0,4,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2026-04-15,88,3,3,8,6,8,5,1,11,7,2,0,5,4,6,1,1,1,9,1,2,4,0,0,0,0,0
2026-04-16,48,6,4,1,8,3,1,3,0,2,5,0,3,2,2,0,0,3,2,3,0,0,0,0,0,0,0
2026-04-19,110,10,13,3,3,8,7,4,8,9,4,1,7,4,4,1,0,1,10,1,3,4,0,2,1,2,0
2026-04-20,50,4,2,3,8,1,6,4,1,4,1,0,0,1,2,2,0,0,2,2,4,0,1,1,0,1,0
2026-04-21,40,2,1,1,8,2,3,3,2,1,6,0,2,0,3,0,0,0,0,1,3,1,0,0,0,0,1
2026-04-22,95,3,3,1,19,5,5,3,4,8,6,0,5,5,4,2,0,1,7,1,2,10,0,0,0,1,0
2026-04-23,118,11,11,7,13,6,7,3,12,8,8,4,5,4,2,1,0,2,6,2,1,3,0,2,0,0,0
2026-04-26,47,3,2,0,10,2,3,2,2,6,4,0,1,1,2,1,0,0,3,1,1,1,0,2,0,0,0
2026-04-27,71,3,7,3,16,2,4,3,7,4,4,0,3,0,1,0,0,2,3,3,1,3,0,1,1,0,0
2026-04-28,47,3,2,1,7,6,1,5,2,2,6,0,2,1,3,0,0,0,2,1,0,0,1,2,0,0,0
2026-04-29,152,9,11,2,23,6,8,5,6,18,6,3,10,8,9,2,0,2,8,1,3,8,1,3,0,0,0
2026-05-03,21,0,2,0,5,1,2,0,1,1,4,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0
2026-05-04,132,8,13,5,24,3,10,3,7,5,8,3,8,1,7,0,3,3,6,2,4,8,0,1,0,0,0
2026-05-05,33,2,3,0,2,2,4,1,3,4,1,0,2,2,0,0,1,0,3,0,0,2,1,0,0,0,0
2026-05-06,56,3,5,4,10,2,4,2,3,5,2,0,5,3,1,0,0,3,1,1,0,0,0,1,0,1,0
2026-05-07,106,9,9,1,22,10,2,4,7,9,4,0,8,4,2,2,1,0,4,0,1,3,1,2,0,1,0
2026-05-10,143,15,12,2,17,7,2,5,4,10,11,0,14,3,9,2,2,0,16,3,3,3,2,0,1,0,0
2026-05-11,106,3,3,7,23,4,10,2,6,6,8,0,5,3,5,0,1,5,8,2,3,2,0,0,0,0,0
2026-05-12,33,1,3,1,5,3,0,3,3,1,3,1,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0
2026-05-13,44,3,3,0,7,3,3,1,8,4,3,0,1,0,1,1,0,0,1,0,2,1,0,1,1,0,0
2026-05-14,92,11,11,7,7,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0
